"Symbol","Description","Category2","GICS Sector"
"UNH","Unitedhealth Group Inc","Common stocks","Health Care"
"GS","Goldman Sachs Group Inc","Common stocks","Financials"
"MSFT","Microsoft Corp","Common stocks","Information Technology"
"HD","Home Depot Inc","Common stocks","Consumer Discretionary"
"MCD","Mcdonalds Corp","Common stocks","Consumer Discretionary"
"AMGN","Amgen Inc","Common stocks","Health Care"
"CAT","Caterpillar Inc","Common stocks","Industrials"
"V","Visa Inc Class A","Common stocks","Information Technology"
"CRM","Salesforce.Com Inc","Common stocks","Information Technology"
"HON","Honeywell International Inc","Common stocks","Industrials"
"BA","Boeing","Common stocks","Industrials"
"AXP","American Express","Common stocks","Financials"
"TRV","Travelers Companies Inc","Common stocks","Financials"
"JNJ","Johnson & Johnson","Common stocks","Health Care"
"AAPL","Apple Inc","Common stocks","Information Technology"
"CVX","Chevron Corp","Common stocks","Energy"
"PG","Procter & Gamble","Common stocks","Consumer Staples"
"WMT","Walmart Stores Inc","Common stocks","Consumer Staples"
"MMM","3M","Common stocks","Industrials"
"DIS","Walt Disney","Common stocks","Communication Services"
"JPM","JP Morgan Chase & Co","Common stocks","Financials"
"NKE","Nike Inc Class B","Common stocks","Consumer Discretionary"
"IBM","International Business Machines Co","Common stocks","Information Technology"
"MRK","Merck & Co Inc","Common stocks","Health Care"
"KO","Coca-Cola","Common stocks","Consumer Staples"
"CSCO","Cisco Systems Inc","Common stocks","Information Technology"
"VZ","Verizon Communications Inc","Common stocks","Communication Services"
"SHW","Sherwin-Williams Co","Common stocks","Materials"
"AMZN","Amazon.com Inc","Common stocks","Consumer Discretionary"
"NVDA","Nvidia Corp","Common stocks","Information Technology"
